subject,model,n_matched,pearson_r,pearson_p,spearman_r,spearman_p
sub-02,cornet,194,-0.05384584145822201,0.45586062299467345,-0.05212938953388928,0.47037002886675583
sub-02,resnet,194,0.002882897156282619,0.9681770781245145,0.017800424999859482,0.8054124687906157
sub-02,vit,194,-0.022643241771068134,0.7539875040271089,-0.03000138526286561,0.6779486808189761
sub-02,ensemble,194,-0.030849256779441066,0.6693754801234072,-0.028290143237146313,0.695377406123013
sub-03,cornet,194,0.09301990539010153,0.19703561860323623,0.034207616572577794,0.6358447367371555
sub-03,resnet,194,0.01710483094565327,0.8128737022263836,-0.014362106781663693,0.8424516685634624
sub-03,vit,194,0.03732525845592992,0.6053648425042641,0.027056464010068983,0.7080426925032918
sub-03,ensemble,194,0.06775190679658993,0.34790766608153534,0.002564956181224894,0.9716851236390649
sub-04,cornet,194,0.029304962424662667,0.6850216580970565,0.02661890756716404,0.712554301675666
sub-04,resnet,194,0.01661263055900562,0.8181634927713086,-0.009241528479150642,0.8982356461294907
sub-04,vit,194,-0.11976190765021442,0.09625195502282162,-0.07748824046421118,0.2828553884377914
sub-04,ensemble,194,-0.05680459603591935,0.4314464512579656,-0.03796261190285631,0.5992145216678325
sub-05,cornet,194,-0.08929837223198059,0.21563458890565784,-0.11097276666561715,0.12345198638909244
sub-05,resnet,194,-0.08634539085279246,0.2312609076313482,-0.06800154821391717,0.34613013684856514
sub-05,vit,194,-0.09104225110228797,0.20676873804468718,-0.10620122267897826,0.14052905692346612
sub-05,ensemble,194,-0.15067463847372078,0.03598651802672131,-0.1569412869313109,0.028861497278959057
sub-06,cornet,194,-0.034227647261006834,0.635646863976145,-0.020589339391283157,0.7756799677888867
sub-06,resnet,194,-0.08016300108174826,0.2665188829591635,-0.04856582552491579,0.5012850846133675
sub-06,vit,194,0.008956258255421493,0.9013607573240568,0.025584003383670673,0.7232646614867863
sub-06,ensemble,194,-0.062361302129137694,0.38768661051676234,-0.03960872137346059,0.5834614604448914
sub-07,cornet,194,0.034233776258384724,0.6355863239515234,0.0326751847936579,0.6510584147295936
sub-07,resnet,194,0.011105276083229525,0.8778591158623925,0.006717299738475194,0.9259372701189146
sub-07,vit,194,0.02760600737527085,0.7023907831410934,0.027424579166668565,0.7042549381352174
sub-07,ensemble,194,0.037418022473624156,0.6044679468423302,0.017052232027416018,0.8134385953234294
sub-08,cornet,194,0.0525955921244929,0.46640431138391364,0.04164942579962014,0.5642024615842185
sub-08,resnet,194,-0.06766831376718592,0.34850416075222795,-0.1005817098668212,0.162886566821479
sub-08,vit,194,-0.0430374894326987,0.5512786824199942,-0.06276363420022806,0.38462601072595326
sub-08,ensemble,194,-0.058419822589939746,0.41844219848731007,-0.09405133429327783,0.19209346511436357
sub-09,cornet,194,-0.0368999397833157,0.6094846179162526,-0.03919553177455234,0.5873975977146045
sub-09,resnet,194,-0.0749714478160092,0.29882983574936584,-0.04530697074542582,0.530464471095789
sub-09,vit,194,0.026825074865923462,0.7104272724724242,0.014908663842282911,0.8365384826217481
sub-09,ensemble,194,-0.047886483612493064,0.5072974410063502,-0.04180185343996246,0.56277621397868
sub-14,cornet,194,0.022759053565013558,0.752769887636776,0.022913026794612667,0.7511519964095227
sub-14,resnet,194,-0.05443185701133902,0.4509647686327412,-0.05545923424529857,0.4424532550746125
sub-14,vit,194,0.04190290566938322,0.5618316326982068,0.06349986451342722,0.37906349396444977
sub-14,ensemble,194,-0.0034605791105847186,0.9618047549563441,0.025257570965879928,0.7266542575825431
sub-15,cornet,194,0.05676493388018241,0.43176866927208657,0.06042588838054709,0.40261431406919135
sub-15,resnet,194,0.0848191672150366,0.23964290487140147,0.028737631390520345,0.6908039128139741
